-1849,-2362,-15249,504,420,5716
-2213,-417,-15775,478,452,5804
-1694,1141,-16181,573,556,5942
-1374,4976,-15069,633,648,6438
-1775,6785,-14345,690,583,6743
-1478,7495,-13541,654,549,6842
-1061,7583,-13896,651,574,6794
-1287,3971,-15223,550,555,6363
-1079,593,-15175,537,519,5918
-3072,-3222,-14964,219,124,5482
-476,-8286,-13683,113,-283,5090
-1118,-12856,-11729,85,-747,4758
-119,-14356,-8123,116,-1247,4549
-167,-15803,-3706,164,-1647,4516
883,-16586,2287,135,-2285,4753
1380,-16220,5797,178,-2643,4882
963,-14927,7796,205,-2900,5039
1261,-13780,10554,222,-3145,5359
735,-11147,12766,265,-3313,5738
1229,-7072,16579,262,-3380,6261
1508,-1917,16834,213,-3233,6907
868,1236,17636,183,-3048,7024
201,5290,17835,243,-2977,7251
-904,8343,15106,104,-2529,7596
-617,10494,13032,35,-2357,7605
-1764,12634,10488,13,-2116,7664
-1888,14830,6436,-16,-1741,7776
-1345,15392,3974,22,-1439,7902
-2004,15308,1703,127,-1159,7881
-1542,15933,-3564,32,-735,7736
-1549,14380,-7618,55,-466,7455
-1307,11387,-11413,-34,-146,6989
-1210,7852,-14305,-66,11,6537
-1181,4110,-14799,-55,-17,6240
-269,968,-15614,-24,-30,5751
-330,-2476,-15966,-67,-150,5510
-472,-2694,-15576,-22,-120,5500
-386,-2954,-15611,-53,-178,5466
-36,-3040,-15688,-6,-195,5422
-85,-1292,-15976,-32,-159,5556
-77,693,-15590,91,35,5666
-519,1927,-14741,-206,-284,5794
-553,2109,-15951,-488,-1117,5787
-1649,1803,-16091,-470,-2007,5745
-999,54,-15513,54,-3165,5691
-805,2198,-14800,991,-3811,5351
-1766,-284,-16520,2168,-4238,5622
-756,-780,-15968,3201,-4049,5709
-819,-1461,-15835,3378,-4010,5812
-584,-1276,-15452,3354,-4016,5724
-721,-819,-15715,3379,-3951,5707
-334,-411,-16036,3417,-3890,5606
-527,3123,-15627,3405,-3830,5206
-218,4713,-14762,3414,-3666,4841
-694,7638,-13316,3426,-3274,4443
-610,11596,-10940,3493,-2768,4168
-267,14604,-6096,3540,-1969,3953
-242,15431,-2599,3546,-1457,3904
308,16098,1034,3521,-916,4018
1471,13855,8451,3496,-108,4547
1710,11660,11617,3581,210,4995
2076,9430,13803,3545,456,5354
1905,6802,16037,3508,625,5787
1210,2284,17041,3334,731,6299
455,-3583,16988,3219,664,7016
2759,-5914,16587,3268,520,7310
1074,-7868,13038,3364,131,7791
1482,-10627,12955,3422,-300,8114
1012,-13158,10284,3390,-684,8315
1293,-15627,6955,3422,-1219,8530
910,-16381,2966,3419,-1881,8517
-213,-16566,-1482,3451,-2540,8406
595,-15806,-5333,3336,-3152,8097
-216,-13692,-8115,3326,-3482,7793
-82,-12694,-10186,3305,-3642,7588
329,-11249,-11222,3264,-3762,7332
752,-9108,-13419,3365,-4024,6918
517,-6650,-14784,3370,-4030,6534
307,-4682,-15179,3373,-4071,6290
452,-1044,-15655,3321,-4082,5817
267,646,-15593,3287,-4004,5517
-15,1346,-15955,3276,-3917,5228
-1171,1211,-15832,3258,-3857,5227
-725,3087,-15346,3353,-3816,5222
-515,1356,-15877,3343,-3843,5324
-1172,1500,-15661,3376,-3840,5293
-902,1542,-15319,3362,-3857,5324
-566,1301,-15867,3369,-3793,5272
-904,1848,-15407,3390,-3862,5272
-358,1237,-15519,3344,-3833,5293
-979,1621,-15771,3423,-3776,5314
-895,1757,-15451,3398,-3798,5309
-665,1406,-15842,3369,-3845,5310
-355,1357,-15676,3385,-3820,5257
-737,1573,-15380,3375,-3862,5309
-429,1300,-15768,3381,-3813,5295
-1020,1480,-16146,3400,-3767,5295
-643,1494,-15527,3367,-3852,5269
-573,1214,-15818,3366,-3808,5317
-725,1491,-15392,3407,-3821,5353
-452,1221,-15744,3397,-3839,5339
-489,1072,-15685,3361,-3856,5384
-389,1074,-15401,3381,-3860,5344
-691,1208,-15884,3410,-3867,5368
-485,1038,-15757,3428,-3808,5400
-424,1198,-15430,3369,-3869,5422
-568,777,-15683,3452,-3837,5361
-684,1030,-15733,3430,-3876,5342
-566,820,-15718,3429,-3839,5319
