-382,1362,17025,-364,-374,6735
233,1196,16992,-317,-338,6796
510,1284,17379,-327,-357,6813
1748,544,17338,-237,-328,7068
3453,859,17084,-154,-349,7327
4835,662,16552,-49,-239,7491
6081,705,15564,120,-213,7585
7144,486,15852,216,-258,7785
8156,502,14649,313,-298,7952
9897,483,13636,601,-287,8152
9856,-135,11862,644,-295,8214
11188,215,11872,866,-226,8264
12713,543,11442,1066,-175,8340
13422,-539,9320,1412,-296,8539
15472,-743,8249,1616,-232,8474
14927,-163,7607,1707,-279,8537
15622,311,4852,2085,-163,8543
16013,625,2551,2423,-170,8477
16333,519,1231,2602,-220,8462
16200,476,-681,2822,-215,8378
13730,456,-3251,3041,-144,8217
15371,1473,-3748,3130,-83,8067
14700,1024,-6987,3457,-49,7814
12733,805,-8908,3704,-64,7538
11376,1433,-10769,3860,-43,7373
8536,1493,-13288,4040,-77,6931
6317,1614,-14769,4162,-28,6499
3256,1130,-15383,4150,-36,6201
1471,813,-15890,4098,18,5851
-1168,396,-15707,4088,9,5559
-3929,-154,-14832,3881,28,5140
-6650,-322,-14418,3595,3,4766
-10095,-1969,-13086,3191,-86,4337
-11865,-2864,-10223,2849,-228,4119
-13895,-2628,-7704,2502,-261,3986
-14963,-3048,-4495,2070,-334,3937
-16073,-3021,-2144,1650,-282,3961
-15971,-3988,452,1155,-123,4214
-16300,-3665,2977,842,-190,4340
-15767,-3385,5263,570,-352,4363
-15046,-3521,7576,303,-422,4518
-14149,-3045,9428,192,-456,4675
-12130,-1749,11576,11,-420,4931
-10325,-1280,13507,-210,-455,5229
-7793,23,15718,-366,-465,5826
-5110,-353,16529,-369,-400,6086
-2214,-169,17061,-349,-386,6469
-372,288,17088,-246,-259,6743
445,338,17097,-220,-256,6918
307,-336,17194,-266,-306,6867
-190,-548,17065,-255,-300,6896
104,-33,17035,-250,-271,6792
531,-1104,17447,-230,-297,6895
577,-1984,16497,-237,-283,7074
625,-6870,15661,-288,-700,7291
-646,-17564,7859,-334,-1854,7322
-1814,-13584,-6683,-303,-2575,6941
-1270,-5909,-14352,-143,-2935,6461
-1614,-2314,-15100,-81,-2973,5940
-1458,-512,-15601,-140,-2926,5967
-794,-291,-16740,-79,-2856,5749
795,-646,-15299,-60,-2807,5665
872,-856,-17063,-42,-2843,5588
2567,1340,-14544,125,-2899,5276
5441,-15,-14629,287,-2753,4867
8023,1064,-12699,474,-2697,4515
9281,-283,-13339,706,-2628,4302
11366,-475,-11093,910,-2573,4156
12388,-412,-9700,1120,-2649,4070
13388,-392,-8153,1443,-2685,4025
14637,-1718,-5867,1783,-2755,3892
16001,-1570,-3460,2011,-2769,3923
16301,-2112,-1053,2399,-2860,3957
16345,-2789,434,2600,-2872,3969
15408,-3011,2276,2910,-2939,4088
15191,-2090,5183,3246,-2855,4310
15059,-1079,7102,3571,-2895,4413
13903,-1751,9328,3751,-2894,4672
12202,-2131,11091,3933,-2981,4926
9976,-1614,13720,4139,-3043,5319
7172,-777,15401,4316,-3111,5817
4810,-715,16695,4311,-3168,6202
1808,-32,17431,4191,-3217,6696
-1544,834,16813,4016,-3241,7128
-5232,1788,16351,3710,-3184,7646
-7847,3093,15237,3419,-3165,8007
-9034,3653,13161,3166,-2999,8230
-11889,4281,11506,2837,-2935,8425
-12196,3991,9311,2307,-2811,8612
-14764,4022,7044,2151,-2779,8635
-15324,3779,4657,1822,-2674,8607
-15010,3576,2429,1515,-2631,8626
-16640,3585,181,1175,-2558,8499
